Commit	Status
d568423a7a4ddb4b49323d96078a22f94df55fbd	{"rustbook":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","book":"test-pass","cargotest":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","reference":"test-pass","edition-guide":"test-pass","cargo":"test-fail"}
1a851da73cdeb02e2c62d301aa6bd98e515a50da	{"cargotest":"test-fail","edition-guide":"test-pass","book":"test-pass","nomicon":"test-pass","cargo":"test-fail","rust-by-example":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","embedded-book":"test-pass","reference":"test-pass"}
d7ea27808deb5e10a0f7384e339e4e6165e33398	{"reference":"test-pass","rustbook":"test-fail","cargo":"test-fail","book":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","cargotest":"test-fail","edition-guide":"test-pass"}
7dd170fccb3be6b1737af5df14dd736b366236c1	{"nomicon":"test-pass","book":"test-pass","reference":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","lld-wrapper":"test-fail","cargo":"test-fail","edition-guide":"test-pass"}
6d721dd0b80ad5382d38481a2477f7404b73e717	{"book":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","reference":"test-pass","edition-guide":"test-pass","cargotest":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","cargo":"test-fail","embedded-book":"test-pass"}
9fa862ff29ccfea885f8b1f33f4a507d456ae551	{"lld-wrapper":"test-fail","nomicon":"test-pass","book":"test-pass","embedded-book":"test-pass","cargo":"test-fail","cargotest":"test-fail","rust-by-example":"test-pass","edition-guide":"test-pass","reference":"test-pass","rustbook":"test-fail"}
2c4bf249bd47f232de3c1e78ffe69b40c29bfcca	{"cargo":"test-fail","lld-wrapper":"test-fail","nomicon":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","reference":"test-pass","cargotest":"test-fail","book":"test-pass"}
09cd00fea4aecaa6707f122d7e143196b8a12ee2	{"embedded-book":"test-pass","edition-guide":"test-pass","reference":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass","book":"test-pass","cargo":"test-fail","cargotest":"test-fail"}
d2d24e395a1e4fcee62ca17bf4cbddb1f903af97	{"nomicon":"test-pass","cargotest":"test-fail","book":"test-pass","reference":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail"}
befabbc9e5f6e82e659f9f52040ee0dd40593d8a	{"lld-wrapper":"test-fail","nomicon":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","cargotest":"test-fail","cargo":"test-fail","rust-by-example":"test-pass","book":"test-pass","rustbook":"test-fail","reference":"test-pass"}
0d7b2fb797f214ea7514cfeaf2caef8178d8e3fc	{"book":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","cargo":"test-fail","edition-guide":"test-pass","cargotest":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","reference":"test-pass"}
d6d3b342e85272f5e75c0d7a1dd3a1d8becb40ac	{"book":"test-pass","nomicon":"test-pass","cargo":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass","lld-wrapper":"test-fail","edition-guide":"test-pass","reference":"test-pass","cargotest":"test-fail","rustbook":"test-fail"}
561b5dea1e7e5c21f0fb550ca579229ceb878297	{"reference":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","nomicon":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","cargotest":"test-fail","lld-wrapper":"test-fail","book":"test-pass","cargo":"test-fail"}
1d645611caa3a2c641b356ab81a88e30d367fab2	{"reference":"test-pass","cargotest":"test-fail","embedded-book":"test-pass","rustbook":"test-fail","book":"test-pass","edition-guide":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass"}
460356fe8b94d18fde00d2f167653e6f33513f09	{"nomicon":"test-pass","reference":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","edition-guide":"test-pass","book":"test-pass","rust-by-example":"test-pass","cargo":"test-fail","cargotest":"test-fail"}
79734f1db8dbe322192dea32c0f6b80ab14c4c1d	{"lld-wrapper":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","rustbook":"test-fail","book":"test-pass","cargo":"test-fail","cargotest":"test-fail","reference":"test-pass","rust-by-example":"test-pass"}
a8773d53bea79d80e5e6ea0e602130be7faa6cbe	{"cargotest":"test-fail","reference":"test-pass","embedded-book":"test-pass","book":"test-pass","rust-by-example":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","edition-guide":"test-pass","cargo":"test-fail","nomicon":"test-pass"}
9382ba4716073ad91094740932ca18e2f38ffc58	{"rustbook":"test-fail","cargotest":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","cargo":"test-fail","reference":"test-pass","lld-wrapper":"test-fail"}
80451a485b006bd32732c003a54ee7de457d8266	{"nomicon":"test-pass","reference":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass","cargotest":"test-fail","edition-guide":"test-pass","book":"test-pass","rustbook":"test-fail"}
f5efc3c286a8e625f7932f9e6f52e5812a4b67fc	{"embedded-book":"test-pass","reference":"test-pass","cargotest":"test-fail","book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","rust-by-example":"test-pass","rustbook":"test-fail"}
26ba1531f82b826f9b9cbfd57cb74ea2937cf05a	{"rustbook":"test-fail","reference":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","cargotest":"test-fail","rust-by-example":"test-pass","cargo":"test-fail","edition-guide":"test-pass","book":"test-pass"}
fcc06c894b17f4d0c80b8934ea5f27faa894c960	{"cargo":"test-fail","rustbook":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","book":"test-pass","reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail"}
f92d49b7fe059e05eea43d7fc530aa96b8028fed	{"rustbook":"test-fail","embedded-book":"test-pass","reference":"test-pass","edition-guide":"test-pass","book":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","cargo":"test-fail"}
cfb2410752d7f7108f1b140a65310ffc9f6eb6c6	{"nomicon":"test-pass","cargotest":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","reference":"test-pass","rust-by-example":"test-pass","book":"test-pass","cargo":"test-fail"}
c987ad527540e8f1565f57c31204bde33f63df76	{"embedded-book":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","cargotest":"test-fail","book":"test-pass","edition-guide":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","reference":"test-pass"}
be9bca2daf929c4472abd8fbbb94b00f82481f07	{"edition-guide":"test-pass","cargotest":"test-fail","cargo":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","book":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","reference":"test-pass"}
9ba3d315b4b2bea7485071eaf4b2681320cd2a27	{"rust-by-example":"test-pass","rustbook":"test-fail","reference":"test-pass","book":"test-pass","cargotest":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass"}
4d96c3efd8f1abcc82a7148c5ec0657bd486571e	{"nomicon":"test-pass","embedded-book":"test-pass","reference":"test-pass","cargo":"test-fail","edition-guide":"test-pass","cargotest":"test-fail","book":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","rust-by-example":"test-pass"}
378a43a06510f3e3a49c69c8de71745e6a884048	{"cargotest":"test-fail","nomicon":"test-pass","rustbook":"test-fail","edition-guide":"test-pass","lld-wrapper":"test-fail","book":"test-pass","reference":"test-pass","cargo":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass"}
5e469ebe673342d52dda4c6d7fea0141dc78a3df	{"reference":"test-pass","book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","cargo":"test-fail","edition-guide":"test-pass","cargotest":"test-fail"}
2e88e9e7d0f7d506a71c9eb1b367ecba3d1b2297	{"rust-by-example":"test-pass","cargotest":"test-fail","edition-guide":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","book":"test-pass","cargo":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","reference":"test-pass"}
f5355b93ba43e5fbc44e8df5c113116844c43724	{"rust-by-example":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","rustbook":"test-fail","cargo":"test-fail","cargotest":"test-fail","book":"test-pass","nomicon":"test-pass","reference":"test-pass"}
f705de59625bb76067a5d102edc1575ff23b8845	{"embedded-book":"test-pass","edition-guide":"test-pass","cargo":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","book":"test-pass","nomicon":"test-pass","rustbook":"test-fail","reference":"test-pass","lld-wrapper":"test-fail"}
4f8187962001c167238eadb9e568b331ef4c636a	{"rustbook":"test-fail","edition-guide":"test-pass","cargo":"test-fail","rust-by-example":"test-pass","reference":"test-pass","nomicon":"test-pass","cargotest":"test-fail","embedded-book":"test-pass","book":"test-pass","lld-wrapper":"test-fail"}
f02231727ea3aa06dbee39252b70158b66f27f4b	{"book":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","rustbook":"test-fail","edition-guide":"test-pass","cargo":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","reference":"test-pass"}
ec82acebc42195553b13756c97c068f940651bc0	{"reference":"test-pass","edition-guide":"test-pass","cargotest":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","book":"test-pass","cargo":"test-fail","embedded-book":"test-pass","rustbook":"test-fail"}
20aa2d81e36036073a9acf418c7d413cb4b22fa6	{"rustbook":"test-fail","book":"test-pass","embedded-book":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","reference":"test-pass","cargotest":"test-fail","edition-guide":"test-pass","cargo":"test-fail"}
a7431167e0b8d6ae9fd60650694fbefc3d0fac2f	{"embedded-book":"test-pass","book":"test-pass","reference":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","rustbook":"test-fail","cargo":"test-fail","edition-guide":"test-pass"}
47314eb427e1a9fb4f347cbeb44729486b6dbf53	{"edition-guide":"test-pass","nomicon":"test-pass","book":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass","reference":"test-pass","cargotest":"test-fail","rustbook":"test-fail","cargo":"test-fail"}
72f616273cbbacc06918ef50470d052d39d9b514	{"edition-guide":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","cargo":"test-fail","rustbook":"test-fail","cargotest":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass","book":"test-pass"}
f973a15a109cbfced3107d91f0224ff2c8381e74	{"rust-by-example":"test-pass","rustbook":"test-fail","nomicon":"test-pass","reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","book":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","cargo":"test-fail"}
f9dca46218d4b8efa062aec4fd0820cbb4942aa2	{"cargo":"test-fail","lld-wrapper":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","book":"test-pass","rust-by-example":"test-pass","cargotest":"test-fail","reference":"test-pass","rustbook":"test-fail","edition-guide":"test-pass"}
74a8df6c650f6067babf942a77f78e9b9a7fee31	{"embedded-book":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","cargotest":"test-fail","rustbook":"test-fail","book":"test-pass","reference":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","cargo":"test-fail"}
7823bf041257d2fcfce0bca51ab555d66646092e	{"cargotest":"test-fail","cargo":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","reference":"test-pass","nomicon":"test-pass","book":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","lld-wrapper":"test-fail"}
14083c14f81bf295c72e8e818628b9cdacbce8d7	{"embedded-book":"test-pass","nomicon":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","cargotest":"test-fail","book":"test-pass","reference":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","edition-guide":"test-pass"}
a8a1d3a771850e1e364eb9010e98789ce758a817	{"cargotest":"test-fail","lld-wrapper":"test-fail","reference":"test-pass","nomicon":"test-pass","book":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","cargo":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass"}
e27af2917b80487e9c0de00118fdcb9ccb1177f9	{"lld-wrapper":"test-fail","rustbook":"test-fail","cargo":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","cargotest":"test-fail","reference":"test-pass","edition-guide":"test-pass","book":"test-pass","nomicon":"test-pass"}
7a5867425959b4b5d69334fa6f02150dc2a5d128	{"reference":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","cargotest":"test-fail","rust-by-example":"test-pass","cargo":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","edition-guide":"test-pass","book":"test-pass"}
90846015cc99aa90290c1f4ee95c571fff6901ef	{"reference":"test-pass","book":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail","edition-guide":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","rustbook":"test-fail","cargotest":"test-fail"}
c65b2dc935c27c0c8c3997c6e8d8894718a2cb1a	{"rustbook":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","cargotest":"test-fail","cargo":"test-fail","lld-wrapper":"test-fail","rust-by-example":"test-pass","edition-guide":"test-pass","book":"test-pass","reference":"test-pass"}
5b1d58c9e2a1f0ae0b60a582525bf08b27b120ca	{"book":"test-pass","rust-by-example":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","cargotest":"test-fail","cargo":"test-fail","rustbook":"test-fail","nomicon":"test-pass"}
5fe8b697e729b6eb64841a3905e57da1b47f4ca3	{"nomicon":"test-pass","book":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","cargo":"test-fail","embedded-book":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","edition-guide":"test-pass","cargotest":"test-fail"}
1fffb2a355dfee65bf6aa5a9db35f33d3ee93aec	{"embedded-book":"test-pass","cargotest":"test-fail","book":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","cargo":"test-fail","reference":"test-pass","rust-by-example":"test-pass"}
10505a1cc9b16e0c871742c37561c457db888232	{"rustbook":"test-fail","embedded-book":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","reference":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","book":"test-pass","cargotest":"test-fail","cargo":"test-fail"}
ce609db948f210807f61da999c57bd4ae5216254	{"edition-guide":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","reference":"test-pass","cargo":"test-fail","book":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass"}
ba007504182df32ca7b7c9497983590016fb4555	{"nomicon":"test-pass","cargotest":"test-fail","reference":"test-pass","edition-guide":"test-pass","cargo":"test-fail","book":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","embedded-book":"test-pass","rust-by-example":"test-pass"}
91d5e4af8674bde06096bac1e7ac04af0e94c691	{"reference":"test-pass","edition-guide":"test-pass","book":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","cargo":"test-fail","rustbook":"test-fail","cargotest":"test-fail","rust-by-example":"test-pass"}
cb4940645775f60d74aee2e018d6c516c5aa9ed7	{"cargotest":"test-fail","rust-by-example":"test-pass","cargo":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass","book":"test-pass","rustbook":"test-fail","reference":"test-pass"}
6c90ac8d8f4489472720fce03c338cd5d0977f33	{"cargotest":"test-fail","cargo":"test-fail","embedded-book":"test-pass","rustbook":"test-fail","reference":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass","book":"test-pass"}
2207179a591f5f252885a94ab014dafeb6e8e9e8	{"rust-by-example":"test-pass","book":"test-pass","reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","nomicon":"test-pass","cargotest":"test-fail","cargo":"test-fail"}
0986358d2ca3dde52151dfbc24344ac82034e981	{"cargotest":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","book":"test-pass","cargo":"test-fail","edition-guide":"test-pass","reference":"test-pass","nomicon":"test-pass"}
aed2187d53b8789e3a37f50ae36f894a2a679077	{"rust-by-example":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","cargotest":"test-fail","lld-wrapper":"test-fail","reference":"test-pass","edition-guide":"test-pass","cargo":"test-fail","rustbook":"test-fail","book":"test-pass"}
825e831dc30e498abcdc4ad1a521658ff84f09d4	{"embedded-book":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","cargotest":"test-fail","book":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","reference":"test-pass","cargo":"test-fail"}
61a1dbd751ab7f3c973be17d7ff3948ffda07c6e	{"cargotest":"test-fail","cargo":"test-fail","reference":"test-pass","lld-wrapper":"test-fail","book":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass"}
2c94366893e6e339fe024fc057b37c2f442a9fe3	{"reference":"test-pass","rustbook":"test-fail","cargo":"test-fail","embedded-book":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","edition-guide":"test-pass","book":"test-pass","nomicon":"test-pass"}
261823eee7021ae24e282e2ca28dbbd3d287b10f	{"rust-by-example":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","nomicon":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","reference":"test-pass","book":"test-pass","cargotest":"test-fail"}
35194e76b769d57ecb243b202228cce24158041b	{"rustbook":"test-fail","reference":"test-pass","nomicon":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","book":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail","cargotest":"test-fail","rust-by-example":"test-pass"}
35f5b734b5d6636f602515b9bdd1ec6f54501ff5	{"cargo":"test-fail","book":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","edition-guide":"test-pass","nomicon":"test-pass","reference":"test-pass","cargotest":"test-fail","rustbook":"test-fail"}
9ac33d9c33741fc24a2ff4a177e72f31b9dc775f	{"rust-by-example":"test-pass","cargotest":"test-fail","reference":"test-pass","nomicon":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","book":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","cargo":"test-fail"}
80d1c8349ab7f1281b9e2f559067380549e2a4e6	{"nomicon":"test-pass","cargotest":"test-fail","book":"test-pass","cargo":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","reference":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass"}
aa6a8ee2701369bf30f4495818667d5489a72ac4	{"rust-by-example":"test-pass","edition-guide":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","cargotest":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","cargo":"test-fail","reference":"test-pass","book":"test-pass"}
f4e8df469504e838a0130efe00831740298f41f8	{"cargotest":"test-fail","rust-by-example":"test-pass","rustbook":"test-fail","nomicon":"test-pass","book":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail","reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass"}
7e4e5749eae1d29cd567b716727a0679e7a90e34	{"cargo":"test-fail","reference":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","cargotest":"test-fail","book":"test-pass","embedded-book":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","edition-guide":"test-pass"}
4d570eea025a19564429eb52b34ec34e14659f55	{"book":"test-pass","reference":"test-pass","cargo":"test-fail","nomicon":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","rust-by-example":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","rustbook":"test-fail"}
1b3a32958bb54bde45e693217e8f7469459e5865	{"book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","lld-wrapper":"test-fail","edition-guide":"test-pass","cargotest":"test-fail","reference":"test-pass","cargo":"test-fail","embedded-book":"test-pass"}
9adafa7f8d72461426def828b5a8735a97eddc3f	{"rustbook":"test-fail","embedded-book":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","reference":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","book":"test-pass","cargo":"test-fail","nomicon":"test-pass"}
5ff8fbb2d83d423974d21d754b5ee56a4c869551	{"book":"test-pass","reference":"test-pass","nomicon":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","cargotest":"test-fail","lld-wrapper":"test-fail","edition-guide":"test-pass","cargo":"test-fail"}
6acb9e75ebc936df737381a9d0b7a7bccd6f0b2f	{"book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","reference":"test-pass","rust-by-example":"test-pass","rustbook":"test-fail","cargo":"test-fail","embedded-book":"test-pass"}
e59f2c544a0b0319c5e576e5b010afffa1b5c861	{"nomicon":"test-pass","book":"test-pass","embedded-book":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","cargotest":"test-fail","edition-guide":"test-pass","rust-by-example":"test-pass","cargo":"test-fail"}
3a36386dc1075018dc7ca2640a2656adb31a61fe	{"cargo":"test-fail","embedded-book":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","edition-guide":"test-pass","reference":"test-pass","rustbook":"test-fail","nomicon":"test-pass","book":"test-pass","rust-by-example":"test-pass"}
bb03e99b89f65d77287fff36b2882c0022158a17	{"reference":"test-pass","rust-by-example":"test-pass","cargo":"test-fail","cargotest":"test-fail","lld-wrapper":"test-fail","nomicon":"test-pass","book":"test-pass","rustbook":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass"}
38dd569150aa5c44d7fc264e88515544061d359d	{"rustbook":"test-fail","lld-wrapper":"test-fail","cargotest":"test-fail","reference":"test-pass","edition-guide":"test-pass","cargo":"test-fail","book":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass"}
