Commit	Status
ce652dbb9a1e62e7ba91e5b5ce6063a7e0b3c448	{"cargotest":"test-fail","rustbook":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","book":"test-pass","rust-by-example":"test-pass","cargo":"test-fail","edition-guide":"test-pass","reference":"test-pass"}
31110152e2b3ce3c009be4a0a13edaff7c008b61	{"nomicon":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","rust-by-example":"test-pass","reference":"test-pass","cargotest":"test-fail","book":"test-pass","embedded-book":"test-pass","cargo":"test-fail","edition-guide":"test-pass"}
fc47cf38e51de0d8635128efe5b6ecfb135cf701	{"reference":"test-pass","embedded-book":"test-pass","edition-guide":"test-pass","nomicon":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","rust-by-example":"test-pass","rustbook":"test-fail","cargotest":"test-fail","book":"test-pass"}
25e3949aa1b24b3f62a72c1f713830aa1d1efcd4	{"book":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass","cargo":"test-fail","rustbook":"test-fail","reference":"test-pass","cargotest":"test-fail"}
8cef37dbb67e9c80702925f19cf298c4203991e4	{"book":"test-pass","embedded-book":"test-pass","reference":"test-pass","edition-guide":"test-pass","rust-by-example":"test-pass","nomicon":"test-pass","cargo":"test-fail","cargotest":"test-fail","lld-wrapper":"test-fail","rustbook":"test-fail"}
69f53f5e5583381267298ac182eb02c7f1b5c1cd	{"book":"test-pass","cargo":"test-fail","lld-wrapper":"test-fail","edition-guide":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","cargotest":"test-fail","reference":"test-pass"}
d287f3e4eeaf680e8fe875f1ec75cca68f357d30	{"lld-wrapper":"test-fail","rust-by-example":"test-pass","reference":"test-pass","book":"test-pass","edition-guide":"test-pass","cargo":"test-fail","nomicon":"test-pass","rustbook":"test-fail","embedded-book":"test-pass","cargotest":"test-fail"}
96f1da82687f499dd3f57006ae71548714532382	{"book":"test-pass","rustbook":"test-fail","cargo":"test-fail","cargotest":"test-fail","embedded-book":"test-pass","nomicon":"test-pass","reference":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail"}
80420a693f89ce4201a8e43b8d5191c7ee0fa368	{"rust-by-example":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","cargo":"test-fail","book":"test-pass","rustbook":"test-fail","edition-guide":"test-pass","embedded-book":"test-pass","reference":"test-pass","cargotest":"test-fail"}
3170bd9d1bab03eeb15552686f2de84e75360e56	{"edition-guide":"test-pass","rustbook":"test-fail","book":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","embedded-book":"test-pass","cargotest":"test-fail","cargo":"test-fail","rust-by-example":"test-pass","nomicon":"test-pass"}
9c9b568792ef20d8459c745345dd3e79b7c7fa8c	{"reference":"test-pass","rustbook":"test-fail","cargotest":"test-fail","embedded-book":"test-pass","cargo":"test-fail","nomicon":"test-pass","rust-by-example":"test-pass","edition-guide":"test-pass","book":"test-pass","lld-wrapper":"test-fail"}
872a85658d13fc424df0c88b1db7973e62d6944e	{"book":"test-pass","cargotest":"test-fail","embedded-book":"test-pass","edition-guide":"test-pass","reference":"test-pass","lld-wrapper":"test-fail","rustbook":"test-fail","rust-by-example":"test-pass","cargo":"test-fail","nomicon":"test-pass"}
7c4ac0603e9ee5295bc802c90575391288a69a8a	{"rustbook":"test-fail","lld-wrapper":"test-fail","rust-by-example":"test-pass","cargotest":"test-fail","cargo":"test-fail","reference":"test-pass","book":"test-pass","edition-guide":"test-pass","embedded-book":"test-pass","nomicon":"test-pass"}
06e88c306a180067b6798901c26828d8ed7b0963	{"embedded-book":"test-pass","book":"test-pass","rust-by-example":"test-pass","reference":"test-pass","edition-guide":"test-pass","lld-wrapper":"test-fail","nomicon":"test-pass","cargo":"test-fail","rustbook":"test-fail","cargotest":"test-fail"}
02f7806ecd641d67c8f046b073323c7e176ee6d2	{"rustbook":"test-fail","reference":"test-pass","nomicon":"test-pass","rust-by-example":"test-pass","embedded-book":"test-pass","lld-wrapper":"test-fail","cargo":"test-fail","cargotest":"test-fail","book":"test-pass","edition-guide":"test-pass"}
e82c861d7e5ecd766cb0dab0bf622445dec999dc	{"reference":"test-pass","rustbook":"test-fail","rust-by-example":"test-pass","book":"test-pass","embedded-book":"test-pass","nomicon":"test-pass","lld-wrapper":"test-fail","cargotest":"test-fail","edition-guide":"test-pass","cargo":"test-fail"}
